step,timestamp,actual_demand,lstm_forecast,reactive_servers,lstm_servers,reactive_capacity,lstm_capacity,reactive_sla_violation,lstm_sla_violation,reactive_over_prov,lstm_over_prov,reactive_action,lstm_action,reactive_cum_sla_pct,lstm_cum_sla_pct,reactive_cum_cost,lstm_cum_cost
137,2026-08-26 12:39:14,140.0,135.51402,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
138,2026-08-26 12:44:14,153.33333,134.43964,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
139,2026-08-26 12:49:14,144.0,134.88635,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
140,2026-08-26 12:54:14,120.0,136.35571,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
141,2026-08-26 12:59:14,130.0,135.43707,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
142,2026-08-26 13:04:14,140.0,135.44878,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
143,2026-08-26 13:09:14,200.00002,135.47702,3,2,240.0,160.0,0,1,0,0,hold,hold,0.0,0.6944444444444444,0.0,0.034722222222222224
144,2026-08-26 13:14:14,154.28572,141.03304,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.6896551724137931,0.0,0.034482758620689655
145,2026-08-26 13:19:14,140.0,144.52258,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.684931506849315,0.0,0.03424657534246575
146,2026-08-26 13:24:14,132.0,147.11589,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.6802721088435374,0.0,0.034013605442176874
147,2026-08-26 13:29:14,126.66668,149.63046,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.6756756756756757,0.0,0.033783783783783786
148,2026-08-26 13:34:14,126.66668,147.96622,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.6711409395973155,0.0,0.03355704697986577
