machine_id,burstiness_score,cluster,cluster_rank,is_stress_test,demand_scale,demand_mean_pct,demand_p95_pct,demand_p99_pct,reactive_up_tuned,reactive_down_tuned,lstm_under_prov_weight_tuned,lstm_safety_margin_tuned,seed,lstm_forecast_rmse,lstm_forecast_mae,naive_baseline_rmse,lstm_sla_violation_rate_pct,reactive_sla_violation_rate_pct,lstm_over_prov_waste_pct,reactive_over_prov_waste_pct,lstm_cost_score,reactive_cost_score,epochs_trained,wall_clock_secs,arima_under_prov_weight_tuned,arima_safety_margin_tuned,arima_order,arima_forecast_rmse,arima_forecast_mae,arima_sla_violation_rate_pct,arima_over_prov_waste_pct,arima_cost_score,arima_wall_clock_secs
m_2163,14.797499999999992,3,2,0,2.6381,115.0,166.2,195.22,75,30,5,0.35,46,7.399418,5.609052,8.527426,1.9868,0.4415,5.7395,20.0883,0.156733,0.222958,51,12.6,5,0.35,"(2, 0, 1)",7.295777,5.566393,1.766,5.5188,0.143488,1.9
m_2183,16.666666666666664,0,2,0,3.1278,115.0,187.67,285.87,70,30,5,0.4,42,9.197208,6.532682,8.833896,2.649,1.1038,18.1015,31.7881,0.313466,0.373068,19,5.1,5,0.4,"(2, 0, 1)",8.560884,6.059704,3.0905,15.2318,0.306843,1.9
m_2183,16.666666666666664,0,2,0,3.1278,115.0,187.67,285.87,70,30,5,0.4,43,9.013743,6.420612,8.833896,2.649,1.1038,14.7903,31.7881,0.280353,0.373068,46,11.4,5,0.4,"(2, 0, 1)",8.560884,6.059704,3.0905,15.2318,0.306843,1.9
m_2183,16.666666666666664,0,2,0,3.1278,115.0,187.67,285.87,70,30,5,0.4,44,8.830077,6.366904,8.833896,2.4283,1.1038,15.2318,31.7881,0.273731,0.373068,48,11.6,5,0.4,"(2, 0, 1)",8.560884,6.059704,3.0905,15.2318,0.306843,1.9
m_2183,16.666666666666664,0,2,0,3.1278,115.0,187.67,285.87,70,30,5,0.4,45,9.252723,6.543489,8.833896,2.8698,1.1038,15.894,31.7881,0.302428,0.373068,25,6.5,5,0.4,"(2, 0, 1)",8.560884,6.059704,3.0905,15.2318,0.306843,1.9
m_2183,16.666666666666664,0,2,0,3.1278,115.0,187.67,285.87,70,30,5,0.4,46,9.094791,6.41709,8.833896,3.3113,1.1038,15.011,31.7881,0.315673,0.373068,25,6.6,5,0.4,"(2, 0, 1)",8.560884,6.059704,3.0905,15.2318,0.306843,1.9
m_2189,14.485714285714298,3,0,0,2.6381,115.0,166.2,185.27,75,30,5,0.25,42,6.548719,5.034743,7.446429,1.5453,1.1038,5.9603,22.0751,0.136865,0.275938,30,7.7,5,0.3,"(2, 0, 1)",6.299371,4.790251,0.883,5.9603,0.103753,1.9
m_2189,14.485714285714298,3,0,0,2.6381,115.0,166.2,185.27,75,30,5,0.25,43,6.523215,4.946978,7.446429,1.5453,1.1038,5.5188,22.0751,0.13245,0.275938,29,7.6,5,0.3,"(2, 0, 1)",6.299371,4.790251,0.883,5.9603,0.103753,1.9
m_2189,14.485714285714298,3,0,0,2.6381,115.0,166.2,185.27,75,30,5,0.25,44,6.421165,4.875114,7.446429,1.766,1.1038,5.298,22.0751,0.14128,0.275938,51,12.5,5,0.3,"(2, 0, 1)",6.299371,4.790251,0.883,5.9603,0.103753,1.9
m_2189,14.485714285714298,3,0,0,2.6381,115.0,166.2,185.27,75,30,5,0.25,45,6.425884,4.894226,7.446429,1.766,1.1038,5.5188,22.0751,0.143488,0.275938,49,12.1,5,0.3,"(2, 0, 1)",6.299371,4.790251,0.883,5.9603,0.103753,1.9
m_2189,14.485714285714298,3,0,0,2.6381,115.0,166.2,185.27,75,30,5,0.25,46,6.413617,4.863716,7.446429,1.766,1.1038,5.298,22.0751,0.14128,0.275938,51,12.6,5,0.3,"(2, 0, 1)",6.299371,4.790251,0.883,5.9603,0.103753,1.9
m_2241,1.0,2,2,0,16.7581,115.0,138.25,150.82,60,40,5,0.2,42,0.459031,0.345869,0.566744,0.2208,0.0,0.0,0.0,0.011038,0.0,51,12.7,5,0.2,"(2, 0, 1)",0.458607,0.341518,0.2208,0.0,0.011038,1.9
m_2241,1.0,2,2,0,16.7581,115.0,138.25,150.82,60,40,5,0.2,43,0.473605,0.352048,0.566744,0.2208,0.0,0.0,0.0,0.011038,0.0,18,5.1,5,0.2,"(2, 0, 1)",0.458607,0.341518,0.2208,0.0,0.011038,1.9
m_2241,1.0,2,2,0,16.7581,115.0,138.25,150.82,60,40,5,0.2,44,0.459558,0.3468,0.566744,0.2208,0.0,0.0,0.0,0.011038,0.0,51,12.9,5,0.2,"(2, 0, 1)",0.458607,0.341518,0.2208,0.0,0.011038,1.9
m_2241,1.0,2,2,0,16.7581,115.0,138.25,150.82,60,40,5,0.2,45,0.458018,0.342485,0.566744,0.2208,0.0,0.0,0.0,0.011038,0.0,46,11.5,5,0.2,"(2, 0, 1)",0.458607,0.341518,0.2208,0.0,0.011038,1.9
m_2241,1.0,2,2,0,16.7581,115.0,138.25,150.82,60,40,5,0.2,46,0.458801,0.346614,0.566744,0.2208,0.0,0.0,0.0,0.011038,0.0,60,15.0,5,0.2,"(2, 0, 1)",0.458607,0.341518,0.2208,0.0,0.011038,1.9
m_2355,16.6,0,1,0,3.255,115.0,192.05,230.07,75,20,5,0.4,42,8.034474,6.09952,9.041247,3.3408,0.4454,16.7038,63.2517,0.334076,0.654788,59,14.2,5,0.3,"(2, 0, 1)",7.817729,5.967586,3.7862,13.363,0.32294,2.0
m_2355,16.6,0,1,0,3.255,115.0,192.05,230.07,75,20,5,0.4,43,7.985991,6.089979,9.041247,3.118,0.4454,17.8174,63.2517,0.334076,0.654788,60,14.7,5,0.3,"(2, 0, 1)",7.817729,5.967586,3.7862,13.363,0.32294,2.0
m_2355,16.6,0,1,0,3.255,115.0,192.05,230.07,75,20,5,0.4,44,8.036696,6.100274,9.041247,3.3408,0.4454,16.7038,63.2517,0.334076,0.654788,58,14.0,5,0.3,"(2, 0, 1)",7.817729,5.967586,3.7862,13.363,0.32294,2.0
m_2355,16.6,0,1,0,3.255,115.0,192.05,230.07,75,20,5,0.4,45,7.979966,6.056953,9.041247,3.118,0.4454,17.3719,63.2517,0.329621,0.654788,60,14.3,5,0.3,"(2, 0, 1)",7.817729,5.967586,3.7862,13.363,0.32294,2.0
m_2355,16.6,0,1,0,3.255,115.0,192.05,230.07,75,20,5,0.4,46,8.023842,6.084815,9.041247,3.3408,0.4454,17.1492,63.2517,0.33853,0.654788,60,14.9,5,0.3,"(2, 0, 1)",7.817729,5.967586,3.7862,13.363,0.32294,2.0
m_2380,14.333333333333336,3,1,0,2.6361,115.0,166.07,205.62,75,30,5,0.4,42,7.407515,5.914343,8.396777,1.5453,0.2208,11.9205,20.0883,0.196468,0.211921,29,7.8,5,0.3,"(2, 0, 1)",7.174921,5.619222,2.649,7.2848,0.205298,1.9
m_2380,14.333333333333336,3,1,0,2.6361,115.0,166.07,205.62,75,30,5,0.4,43,7.565061,5.950381,8.396777,1.9868,0.2208,10.8168,20.0883,0.207506,0.211921,23,6.4,5,0.3,"(2, 0, 1)",7.174921,5.619222,2.649,7.2848,0.205298,1.9
m_2380,14.333333333333336,3,1,0,2.6361,115.0,166.07,205.62,75,30,5,0.4,44,7.366986,5.8709,8.396777,1.3245,0.2208,13.9073,20.0883,0.205298,0.211921,35,9.8,5,0.3,"(2, 0, 1)",7.174921,5.619222,2.649,7.2848,0.205298,1.9
m_2380,14.333333333333336,3,1,0,2.6361,115.0,166.07,205.62,75,30,5,0.4,45,7.401744,5.9414,8.396777,1.1038,0.2208,14.3488,20.0883,0.198675,0.211921,32,8.7,5,0.3,"(2, 0, 1)",7.174921,5.619222,2.649,7.2848,0.205298,1.9
m_2380,14.333333333333336,3,1,0,2.6361,115.0,166.07,205.62,75,30,5,0.4,46,7.429481,5.920446,8.396777,1.3245,0.2208,12.5828,20.0883,0.192053,0.211921,27,7.4,5,0.3,"(2, 0, 1)",7.174921,5.619222,2.649,7.2848,0.205298,1.9
m_2647,14.560000000000002,3,3,0,2.5946,115.0,172.54,193.27,75,25,5,0.35,42,6.664172,5.222411,7.48479,1.3245,0.0,13.245,50.5519,0.198675,0.505519,60,15.7,5,0.35,"(2, 0, 1)",6.538396,5.108023,1.1038,12.8035,0.183223,1.9
m_2647,14.560000000000002,3,3,0,2.5946,115.0,172.54,193.27,75,25,5,0.35,43,6.697808,5.23048,7.48479,1.3245,0.0,12.362,50.5519,0.189845,0.505519,60,15.4,5,0.35,"(2, 0, 1)",6.538396,5.108023,1.1038,12.8035,0.183223,1.9
m_2647,14.560000000000002,3,3,0,2.5946,115.0,172.54,193.27,75,25,5,0.35,44,6.70592,5.238735,7.48479,1.3245,0.0,12.362,50.5519,0.189845,0.505519,60,15.4,5,0.35,"(2, 0, 1)",6.538396,5.108023,1.1038,12.8035,0.183223,1.9
m_2647,14.560000000000002,3,3,0,2.5946,115.0,172.54,193.27,75,25,5,0.35,45,6.673678,5.241206,7.48479,1.1038,0.0,13.6865,50.5519,0.192053,0.505519,60,15.6,5,0.35,"(2, 0, 1)",6.538396,5.108023,1.1038,12.8035,0.183223,1.9
m_2647,14.560000000000002,3,3,0,2.5946,115.0,172.54,193.27,75,25,5,0.35,46,6.706836,5.253458,7.48479,1.3245,0.0,12.5828,50.5519,0.192053,0.505519,60,15.2,5,0.35,"(2, 0, 1)",6.538396,5.108023,1.1038,12.8035,0.183223,1.9
