machine_id,seed,variant,under_prov_weight,safety_margin,val_cost,cost_score,sla_violation_rate_pct,over_prov_waste_pct,forecast_rmse,forecast_mae
m_2065,45,pooled_finetuned,5,0.35,0.363839,0.224944,1.7817,13.5857,8.921482,6.710563
m_2085,45,pooled_no_finetune,5,0.05,0.306667,0.135255,0.2217,12.4169,1.744515,1.473998
m_2085,45,pooled_finetuned,5,0.2,0.148889,0.412417,7.7605,2.439,0.691393,0.516297
m_2087,45,pooled_no_finetune,5,0.05,0.004415,0.02649,0.0,2.649,1.796003,1.567189
m_2087,45,pooled_finetuned,5,0.05,0.0,0.022075,0.4415,0.0,0.511724,0.397678
m_2104,45,pooled_no_finetune,5,0.35,0.421634,0.302428,3.0905,14.7903,8.101157,6.229865
m_2104,45,pooled_finetuned,5,0.35,0.434879,0.286976,3.0905,13.245,8.042125,6.172744
m_2134,45,pooled_no_finetune,5,0.4,0.455752,0.863135,11.2583,30.0221,17.91904,14.521572
m_2134,45,pooled_finetuned,5,0.4,0.435841,0.905077,12.362,28.6976,17.75446,14.282242
m_2163,45,pooled_no_finetune,5,0.4,0.198675,0.174393,1.5453,9.713,7.377634,5.655954
m_2163,45,pooled_finetuned,5,0.3,0.214128,0.156733,2.2075,4.6358,7.353176,5.620302
m_2183,45,pooled_no_finetune,5,0.4,0.443709,0.289183,2.2075,17.8808,8.73101,6.475506
m_2183,45,pooled_finetuned,5,0.4,0.459161,0.335541,3.7528,14.7903,9.019996,6.418814
m_2189,45,pooled_no_finetune,5,0.25,0.207506,0.139073,1.766,5.0773,6.365325,4.874938
m_2189,45,pooled_finetuned,5,0.3,0.214128,0.11479,1.1038,5.9603,6.355892,4.824919
m_2241,45,pooled_no_finetune,5,0.05,0.02649,0.059603,0.0,5.9603,1.765809,1.539617
m_2241,45,pooled_finetuned,5,0.2,0.0,0.011038,0.2208,0.0,0.473428,0.364744
m_2355,45,pooled_no_finetune,5,0.3,0.498886,0.331849,3.5635,15.3675,8.03081,6.230055
m_2355,45,pooled_finetuned,5,0.4,0.492205,0.331849,2.8953,18.7082,7.971508,6.069757
m_2380,45,pooled_no_finetune,5,0.4,0.203091,0.18543,1.1038,13.0243,7.229545,5.721924
m_2380,45,pooled_finetuned,5,0.4,0.211921,0.172185,0.2208,16.1148,7.333225,5.878561
m_2647,45,pooled_no_finetune,5,0.35,0.247241,0.196468,1.1038,14.128,6.605706,5.186851
m_2647,45,pooled_finetuned,5,0.3,0.251656,0.178808,1.5453,10.1545,6.623455,5.206007
